proj_id,proj_name,pdo,region,country_code,country_name,proj_approval_fy,asa_approval_date,task_type,proj_url,product_line_type,lending_instrument,lead_gp,ttl,agreement_type,commitment_amount,ida_cycle_approval,proj_status,product_line_name,contrib_gp,theme
P500500,Building Institutional Foundations for an Effective Public Service Project,To strengthen institutional and human resource capabilities in selected sectors.,Eastern and Southern Africa,SSD,Republic of South Sudan,2025,NA,NA,https://opswork.worldbank.org/home/P500500,Lending Product,IPF,GOV,David Santos Ruano (ADM),IDA,NA,Pre-IDA21,NA,NA,NA,Environmental and Social
P501663,Uganda Governance Programmatic Advisory Services and Analytics,NA,Eastern and Southern Africa,UGA,Republic of Uganda,2024,2024-02-23T00:00:00Z,Analytical,https://opswork.worldbank.org/home/P501663,Analytic and Advisory Activities Product,NA,GOV,Barbara Kasura Magezi Ndamira (ADM),NA,NA,Pre-IDA21,NA,NA,NA,Environmental and Social
P511206,Uganda Strengthening Public Investment and Asset Management for Growth and Resilience Operation (PIM Plus),"To strengthen the GoU's efficiency, accountability, and sustainability of public investment and asset management.",Eastern and Southern Africa,UGA,Republic of Uganda,2026,NA,NA,https://opswork.worldbank.org/home/P511206,Lending Product,PforR,GOV,Verena Maria Fritz (ADM),IDA,NA,IDA21,NA,NA,NA,Environmental and Social
P178492,Zambia Devolution Support Program,"To strengthen the financing, institutional performance and accountability of local authorities in Zambia.",Eastern and Southern Africa,ZMB,Republic of Zambia,2022,NA,NA,https://opswork.worldbank.org/home/P178492,Lending Product,PforR,GOV,Donna Andrews (ADM),IDA,210000000,Pre-IDA21,NA,NA,NA,Environmental and Social
P502030,Zambia Governance for Transformation PASA,NA,Eastern and Southern Africa,ZMB,Republic of Zambia,2024,2023-11-15T00:00:00Z,Analytical,https://opswork.worldbank.org/home/P502030,Analytic and Advisory Activities Product,NA,GOV,Donna Andrews (ADM),NA,NA,Pre-IDA21,NA,NA,NA,Environmental and Social
P180722,Public Finance Management and Procurement Systems for Service Delivery Program,NA,Eastern and Southern Africa,TZA,United Republic of Tanzania,2024,NA,NA,https://opswork.worldbank.org/home/P180722,Lending Product,PforR,GOV,Paul Welton (ADM),IDA,0,Pre-IDA21,NA,NA,NA,Environmental and Social
P501890,Tanzania Governance and Public Sector PASA,NA,Eastern and Southern Africa,TZA,United Republic of Tanzania,2024,2023-11-20T00:00:00Z,Analytical,https://opswork.worldbank.org/home/P501890,Analytic and Advisory Activities Product,NA,GOV,Donna Andrews (ADM),NA,NA,Pre-IDA21,NA,NA,NA,Environmental and Social
P500588,Zanzibar Judicial Modernization Project (Zi-JUMP),"To enhance the accessibility, efficiency, and transparency of selected citizen-centric judicial services, in Zanzibar",Eastern and Southern Africa,TZA,United Republic of Tanzania,2024,NA,NA,https://opswork.worldbank.org/home/P500588,Lending Product,IPF,GOV,Benjamin Ndazi Mtesigwa (ADM),IDA,NA,Pre-IDA21,NA,NA,NA,Environmental and Social
P511035,Optimization of Public Finance Management in Honduras,"To enhance the efficiency, effectiveness, and accountability of public financial management in Honduras.",Latin America and Caribbean,HND,Republic of Honduras,2026,NA,NA,https://opswork.worldbank.org/home/P511035,Lending Product,IPF,GOV,Ruben Leonel Ruano Chinchilla (ADM),IDA,NA,IDA21,NA,NA,NA,Environmental and Social
P171417,Punjab Resource Improvement and Digital Effectiveness,"To increase own source revenue, and improve reliability of resource allocation and access to digital services for people and firms in the province of Punjab.","Middle East, North Africa, Afghanistan, and Pakistan",PAK,Islamic Republic of Pakistan,2021,NA,NA,https://opswork.worldbank.org/home/P171417,Lending Product,PforR,GOV,Akmal Minallah (ADM),IBRD,304000000,Pre-IDA21,NA,NA,NA,Environmental and Social
P175727,KP- Spending Effectively  for Enhanced Development,"To improve the availability and management of public resources for delivery of primary, middle and high school education and primary health care services.","Middle East, North Africa, Afghanistan, and Pakistan",PAK,Islamic Republic of Pakistan,2021,NA,NA,https://opswork.worldbank.org/home/P175727,Lending Product,PforR,GOV,Akmal Minallah (ADM),IDA,400000000,Pre-IDA21,NA,NA,NA,Environmental and Social
P512516,Syria Public Financial Management Capacity Strengthening Project,"The project development objective (PDO) is to establish public financial management reform coordination capacity, strengthen budget controls and improve transparency in the use of public funds.","Middle East, North Africa, Afghanistan, and Pakistan",SYR,Syrian Arab Republic,2026,NA,NA,https://opswork.worldbank.org/home/P512516,Lending Product,IPF,GOV,Winston Percy Onipede Cole (ADM),IDA,NA,IDA21,NA,NA,NA,Environmental and Social
P177875,Burkina Faso Local Governance for Basic Services & Resilience Program,The PDO is to improve the delivery of selected basic services and the institutional performance of target local public entities,Western and Central Africa,BFA,Burkina Faso,2023,NA,NA,https://opswork.worldbank.org/home/P177875,Lending Product,PforR,GOV,Gabriel Dedu (ADM),IDA,150000000,Pre-IDA21,NA,NA,NA,Environmental and Social
P174620,CAR- Public Sector Digital Governance Project,"The Project Development objective (PDO) is: To (i) improve efficiency and transparency in key areas of public resources management, and (ii) lay foundations for a trusted and inclusive digital government.",Western and Central Africa,CAF,Central African Republic,2022,NA,NA,https://opswork.worldbank.org/home/P174620,Lending Product,IPF,DDT,Amadou Makhtar Fall (ADM),IDA,35000000,Pre-IDA21,NA,NA,NA,Environmental and Social
