proj_id,proj_name,proj_status,pdo,proj_approval_fy,proj_url,product_line_type,product_line_name,country_code,country_name,region,lending_instrument,lead_gp,contrib_gp,ttl,agreement_type,commitment_amount,lending_category,theme_pfm,theme_procurement,theme_public_admin,theme_env_social
P180797,South Sudan Programmatic Governance and Public Financial Management Technical Assistance,Active,This programmatic advisory and analytical intervention aims to support the government in implementing effective governance and public financial management reforms needed to foster longer-term stability and prosperity.,2027,https://opswork.worldbank.org/home/P180797,Analytic and Advisory Activities Product,Advisory Services & Analytics,SSD,Republic of South Sudan,Eastern and Southern Africa,NA,GOV,NA,David Santos Ruano (ADM),NA,NA,IDA,TRUE,FALSE,TRUE,FALSE
P179680,Kenya Governance and Green Economy Support Programmatic ASA,Active,Enhance public sector performance and accountability and facilitate the transition to a green economy through targeted technical assistance and policy dialogue support,2027,https://opswork.worldbank.org/home/P179680,Analytic and Advisory Activities Product,Advisory Services & Analytics,KEN,Republic of Kenya,Eastern and Southern Africa,NA,GOV,FCI MTI SOC,Onur Erdem (ADM),NA,NA,Blend,TRUE,FALSE,TRUE,TRUE
P502030,Zambia Governance for Transformation PASA,Active,NA,2026,https://opswork.worldbank.org/home/P502030,Analytic and Advisory Activities Product,Advisory Services & Analytics,ZMB,Republic of Zambia,Eastern and Southern Africa,NA,GOV,NA,Donna Andrews (ADM),NA,NA,IDA,FALSE,FALSE,FALSE,FALSE
P507538,Revenue Improvement and Spending Efficiency Program-for-Results Operation,Active,"To enhance domestic revenue collection and improve the efficiency, transparency, and job creation potential of public spending",2026,https://opswork.worldbank.org/home/P507538,Lending Product,IBRD/IDA,RWA,Republic of Rwanda,Eastern and Southern Africa,PforR,GOV,NA,Meron Tadesse Techane (ADM),IDA,NA,IDA,TRUE,TRUE,FALSE,TRUE
P174171,Lesotho Public Sector Foundations for Service Delivery Project,Active,To strengthen expenditure controls  and increase the efficiency of selected administrative services.,2024,https://opswork.worldbank.org/home/P174171,Lending Product,IBRD/IDA,LSO,Kingdom of Lesotho,Eastern and Southern Africa,IPF,GOV,DDT,Runyararo Gladys Senderayi (ADM),IDA,20000000,IDA,TRUE,FALSE,TRUE,TRUE
P180586,Somalia Enhanced Procurement Risk Management,Active,"The Development Objective is to provide enhanced procurement risk mitigation measures aimed at addressing existing/evolving risk in the Somalia portfolio, and to support strengthening of the country public procurement and risk management capacities.",2028,https://opswork.worldbank.org/home/P180586,Analytic and Advisory Activities Product,Advisory Services & Analytics,SOM,Federal Republic of Somalia,Eastern and Southern Africa,NA,GOV,FCV,Francis Akolu Muthuiya (ADM),NA,NA,IDA,TRUE,FALSE,TRUE,FALSE
P180935,Second Kenya Devolution Support Program,Active,"To strengthen county performance in the financing, management, coordination, and accountability for resources",2024,https://opswork.worldbank.org/home/P180935,Lending Product,IBRD/IDA,KEN,Republic of Kenya,Eastern and Southern Africa,PforR,GOV,EDU MTI SOC,Christine Anyango Owuor (ADM),IDA,150000000,Blend,TRUE,FALSE,TRUE,TRUE
P171762,Enhancing Collection of Revenue and Expenditure Management Project,Active,The project development objective is to increase mining revenue transparency and improve expenditure management at the central level and in the project provinces,2022,https://opswork.worldbank.org/home/P171762,Lending Product,IBRD/IDA,COD,Democratic Republic of the Congo,Eastern and Southern Africa,IPF,GOV,EAE FCV MTI,Ruxandra Burdescu (ADM),IDA,250000000,IDA,TRUE,FALSE,TRUE,FALSE
P179174,Somalia Governance and Institutions PASA,Active,"The development objective is to reduce the financial management risks of the Somalia portfolio, and to strengthen the country?s capacity to manage financial management risks.",2028,https://opswork.worldbank.org/home/P179174,Analytic and Advisory Activities Product,Advisory Services & Analytics,SOM,Federal Republic of Somalia,Eastern and Southern Africa,NA,GOV,NA,Verena Maria Fritz (ADM),NA,NA,IDA,TRUE,FALSE,FALSE,FALSE
P500500,Building Institutional Foundations for an Effective Public Service Project,Active,To strengthen institutional and human resource capabilities in selected sectors.,2025,https://opswork.worldbank.org/home/P500500,Lending Product,IBRD/IDA,SSD,Republic of South Sudan,Eastern and Southern Africa,IPF,GOV,EAE EDU HNP WAT,David Santos Ruano (ADM),IDA,NA,IDA,FALSE,FALSE,FALSE,TRUE
P500797,Rwanda Governance and Decentralization Support PASA,Active,NA,2027,https://opswork.worldbank.org/home/P500797,Analytic and Advisory Activities Product,Advisory Services & Analytics,RWA,Republic of Rwanda,Eastern and Southern Africa,NA,GOV,NA,Meron Tadesse Techane (ADM),NA,NA,IDA,TRUE,FALSE,TRUE,FALSE
P180287,Second Program for Strengthening Governance for Enabling Service Delivery and Public Investment in Kenya,Active,"To enhance public sector efficiency, accountability, and transparency through improving revenue systems, spending controls, public sector effectiveness, and oversight.",2024,https://opswork.worldbank.org/home/P180287,Lending Product,IBRD/IDA,KEN,Republic of Kenya,Eastern and Southern Africa,PforR,GOV,MTI,Onur Erdem (ADM),IDA,200000000,Blend,TRUE,FALSE,TRUE,TRUE
P511206,Uganda Strengthening Public Investment and Asset Management for Growth and Resilience Operation (PIM Plus),Active,"To strengthen the GoU's efficiency, accountability, and sustainability of public investment and asset management.",2026,https://opswork.worldbank.org/home/P511206,Lending Product,IBRD/IDA,UGA,Republic of Uganda,Eastern and Southern Africa,PforR,GOV,CLC ENV MTI TDD,Verena Maria Fritz (ADM),IDA,NA,IDA,TRUE,TRUE,FALSE,TRUE
P173731,Somalia Recurrent Cost & Reform Financing Project - Phase 3,Active,"To support the Federal Government of Somalia and Eligible Federal Member States to strengthen resource management systems, the inter-governmental fiscal framework, and service delivery systems in health and education.",2020,https://opswork.worldbank.org/home/P173731,Lending Product,IBRD/IDA,SOM,Federal Republic of Somalia,Eastern and Southern Africa,IPF,GOV,EDU HNP,Kandi Magendo (ADM),IDA,135000000,IDA,TRUE,FALSE,TRUE,FALSE
P176761,Public Financial Management and Institutional Strengthening Project,Active,To improve and build capacity for budget preparation and implementation.,2022,https://opswork.worldbank.org/home/P176761,Lending Product,IBRD/IDA,SSD,Republic of South Sudan,Eastern and Southern Africa,IPF,GOV,AGR EDU MTI,David Santos Ruano (ADM),IDA,34000000,IDA,TRUE,TRUE,TRUE,FALSE
P158914,DIME_SZ_Planning/Auditing_Medication,Active,"The objective of this program is to increase the use of rigorous impact evaluation (IE) by governments and other stakeholders for knowledge generation and evidence-based policy formulation across sectors and countries. The program is part of the ?Impact Evaluation to Development Impact (i2i)? trust fund, which is supported by DFID and administered by the World Bank?s Development Impact Evaluation group (DECIE). More specifically, this program supports the following three activities: (i) financial support to new and ongoing IEs that contribute to improving the design and implementation of development policies through knowledge generation across themes such as agriculture and rural development, financial sector development, private sector development, labor markets, infrastructure, governance, climate change, gender, and fragile and conflict situations, among others; (ii) financial support for a select set of IEs for data collection; and (iii) technical assistance to IE task teams to ensure high quality of research products.",2018,https://opswork.worldbank.org/home/P158914,Analytic and Advisory Activities Product,Advisory Services & Analytics,SWZ,Kingdom of Eswatini,Eastern and Southern Africa,NA,GOV,NA,Jurgen Rene Blum (ADM),NA,NA,Blend,FALSE,FALSE,FALSE,FALSE
P164961,Malawi Governance to Enable Service Delivery Project,Active,"The objective of the Project is to: (i) strengthen Local Authorities? institutional performance, responsiveness to citizens and management of resources for service delivery; and (ii) in case of an Eligible Crisis or Emergency, respond promptly and effectively to it.",2020,https://opswork.worldbank.org/home/P164961,Lending Product,IBRD/IDA,MWI,Republic of Malawi,Eastern and Southern Africa,IPF,GOV,EDU HNP SPL,Eva Maria Melis (ADM),IDA,100000000,IDA,FALSE,FALSE,TRUE,TRUE
