proj_id,proj_name,proj_status,pdo,proj_approval_fy,proj_url,product_line_type,product_line_name,country_code,country_name,region,lending_instrument,lead_gp,contrib_gp,ttl,agreement_type,commitment_amount,lending_category,theme_pfm,theme_procurement,theme_public_admin,theme_env_social
P179015,Lao PDR Third Programmatic Public Financial Management Reform Program,Active,"The development objective is to provide technical assistance and advisory services to the Government of Lao PDR to improve public expenditure and revenue management, public procurement and human resources management.",2027,https://opswork.worldbank.org/home/P179015,Analytic and Advisory Activities Product,Advisory Services & Analytics,LAO,Lao People's Democratic Republic,East Asia and Pacific,NA,GOV,EDU FCI MTI TDD,Tessa Clare Cullen (ADM),NA,NA,IDA,TRUE,FALSE,TRUE,FALSE
P501950,Timor-Leste Institutions PASA,Active,Strengthen accountability of institutions in Timor-Leste.,2027,https://opswork.worldbank.org/home/P501950,Analytic and Advisory Activities Product,Advisory Services & Analytics,TLS,Democratic Republic of Timor-Leste,East Asia and Pacific,NA,GOV,FCI MTI,Shilpa Pradhan (ADM),NA,NA,Blend,TRUE,FALSE,FALSE,TRUE
P510862,Enhancing Public Financial Management through Information and Communication Technology and Skills (EFITS) 2 Project,Active,To improve efficiency and transparency of public financial management and strengthen capacity of public finance officials.,2026,https://opswork.worldbank.org/home/P510862,Lending Product,IBRD/IDA,LAO,Lao People's Democratic Republic,East Asia and Pacific,IPF,GOV,MTI,Tessa Clare Cullen (ADM),IDA,NA,IDA,TRUE,FALSE,FALSE,TRUE
P510280,Strengthening Public Financial Management II Project,Active,"To improve timeliness and transparency of budget execution and financial reporting by the Ministry of Finance, Banking and Postal Services.",2026,https://opswork.worldbank.org/home/P510280,Lending Product,IBRD/IDA,MHL,Republic of the Marshall Islands,East Asia and Pacific,IPF,GOV,EDU POV,Patrick Piker Umah Tete (ADM),IDA,NA,IDA,TRUE,TRUE,FALSE,TRUE
P181237,Strengthening Public Financial Management II Project,Active,To improve fiscal management practices and increase fiscal transparency at the National Government level.,2025,https://opswork.worldbank.org/home/P181237,Lending Product,IBRD/IDA,FSM,Federated States of Micronesia,East Asia and Pacific,IPF,GOV,NA,Patrick Piker Umah Tete (ADM),IDA,0,IDA,TRUE,TRUE,FALSE,TRUE
P507378,Cambodia Governance Programmatic Advisory Services and Analytics,Active,NA,2027,https://opswork.worldbank.org/home/P507378,Analytic and Advisory Activities Product,Advisory Services & Analytics,KHM,Kingdom of Cambodia,East Asia and Pacific,NA,GOV,EDU HNP MTI POV,Tessa Clare Cullen (ADM),NA,NA,IDA,TRUE,TRUE,FALSE,FALSE
P513817,Value Chain Assessment of Procurement Processes in Government Departments in Cambodia,Active,The Development Objective of this ASA is to map end-to-end procurement processes and approval steps in selected Cambodian government departments and identify efficiency gains to inform the MAPS strategic action plan.,2026,https://opswork.worldbank.org/home/P513817,Analytic and Advisory Activities Product,Advisory Services & Analytics,KHM,Kingdom of Cambodia,East Asia and Pacific,NA,GOV,NA,Kalesh Kumar A K (ADM),NA,NA,IDA,FALSE,TRUE,FALSE,FALSE
