proj_id,proj_name,proj_status,pdo,proj_approval_fy,proj_url,product_line_type,product_line_name,country_code,country_name,region,lending_instrument,lead_gp,contrib_gp,ttl,agreement_type,commitment_amount,lending_category,theme_pfm,theme_procurement,theme_public_admin,theme_env_social
P171417,Punjab Resource Improvement and Digital Effectiveness,Active,"To increase own source revenue, and improve reliability of resource allocation and access to digital services for people and firms in the province of Punjab.",2021,https://opswork.worldbank.org/home/P171417,Lending Product,IBRD/IDA,PAK,Islamic Republic of Pakistan,"Middle East, North Africa, Afghanistan, and Pakistan",PforR,GOV,CLC DDT GEN MTI,Akmal Minallah (ADM),IBRD,304000000,Blend,TRUE,FALSE,TRUE,TRUE
P506552,Yemen Strengthening Institutions,Active,NA,2027,https://opswork.worldbank.org/home/P506552,Analytic and Advisory Activities Product,Advisory Services & Analytics,YEM,Republic of Yemen,"Middle East, North Africa, Afghanistan, and Pakistan",NA,GOV,FCI FCV MTI SOC,Saki Kumagai (ADM),NA,NA,IDA,FALSE,FALSE,FALSE,FALSE
P175727,KP- Spending Effectively  for Enhanced Development,Active,"To improve the availability and management of public resources for delivery of primary, middle and high school education and primary health care services.",2021,https://opswork.worldbank.org/home/P175727,Lending Product,IBRD/IDA,PAK,Islamic Republic of Pakistan,"Middle East, North Africa, Afghanistan, and Pakistan",PforR,GOV,EDU HNP MTI SPL,Akmal Minallah (ADM),IDA,400000000,Blend,TRUE,FALSE,TRUE,TRUE
P512516,Syria Public Financial Management Capacity Strengthening Project,Active,"The project development objective (PDO) is to establish public financial management reform coordination capacity, strengthen budget controls and improve transparency in the use of public funds.",2026,https://opswork.worldbank.org/home/P512516,Lending Product,IBRD/IDA,SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan, and Pakistan",IPF,GOV,DDT FCI FCV MTI,Winston Percy Onipede Cole (ADM),IDA,NA,IDA,FALSE,TRUE,FALSE,FALSE
P512679,SPF: Foundations for restoring Syria's public financial management systems.,Active,The development objective is to ?support restoration of public financial management and wage bill management for more transparent and accountable use of public funds?. This foundational support will be scaled up for impact through the Syria Public Financial Management Capacity Strengthening Project (P512616).,2027,https://opswork.worldbank.org/home/P512679,Analytic and Advisory Activities Product,Advisory Services & Analytics,SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan, and Pakistan",NA,GOV,FCV GOV,Winston Percy Onipede Cole (ADM),NA,NA,IDA,TRUE,FALSE,FALSE,FALSE
P154282,PKGRW Implementation Support,Active,"Faced by an adverse security situation and weak fundamentals, Pakistan?s economy is struggling to slowly recover from a low-investment low-growth trap. The Government of Pakistan has recognized the urgency of the economic situation and has embarked on a major structural reform program.  The Government?s Economic Reform Program (ERP) includes a set of bold stabilization and structural reform measures aimed at reducing the risk of a balance of payment crisis in the short term and regain and sustain high and inclusive growth in the medium term. While the Government?s ERP has shown early gains in stabilizing the economy and implementing initial actions into structural reforms, there are substantial downside risks to the program, including gaps in knowledge, weak capacity of the government to complete the design and implement the program, and difficulty gaining wide buy-in.  The Trust Fund?s main development objective is to support the government?s economic reform program by filling knowledge gaps, strengthening the capacity of key institutions?federal and provincial--to complete the design and implement the reform agenda, and building dialogue and consensus. More specifically, it will provide assistance for key federal and provincial ministries and agencies, to expand and sustain the fiscal space and revenue collection; liberalize trade and economic activities; facilitate private investment; improve the quality of expenditures and debt management and tackle other binding constraints facing the economy.     The TF will be initially established with a main component including four implementing reform windows (also called child trust funds), grouped around the four key reform priorities of the Government: (i) Energy sector reforms, (ii) State-owned enterprises and private sector reforms, (iii) Tax reforms, and (iv) Public debt management reforms.  Other windows may also be established through which priority reforms could be financed that do not fall neatly within the other four windows.  The task for which this AIS has been prepared relates to administration of the trust fund for which the Bank is responsible through the MDTF Secretariat.  Administering the trust fund will require maintaining records, arranging meetings, preparing application check-lists, assisting in preparing financial and progress reports, providing procurement and disbursement guidance to PMTs, engaging in effective communication and external relations, and assisting PMTs in the organization of capacity building activities.",2015,https://opswork.worldbank.org/home/P154282,Analytic and Advisory Activities Product,Donor & Aid Coordination,PAK,Islamic Republic of Pakistan,"Middle East, North Africa, Afghanistan, and Pakistan",NA,GOV,EAE FCI MTI PPP,Keiko Nagai (ADM),NA,NA,Blend,TRUE,FALSE,FALSE,FALSE
P158097,Strengthening Sub-National Tax Adm.,Active,"Mobilize domestic tax resources through tax policy and tax administration reforms, in order to increase the fiscal space of Pakistan with a view to funding quality social expenditure and improving the provision of public services.",2018,https://opswork.worldbank.org/home/P158097,Analytic and Advisory Activities Product,Advisory Services & Analytics,PAK,Islamic Republic of Pakistan,"Middle East, North Africa, Afghanistan, and Pakistan",NA,GOV,NA,Raul Felix Junquera-Varela (ADM),NA,NA,Blend,FALSE,FALSE,FALSE,FALSE
P158095,Modernization of Revenue Administration,Active,"Mobilize domestic tax resources through tax policy and tax administration reforms, in order to increase the fiscal space of Pakistan with a view to funding quality social expenditure and improving the provision of public services.",2018,https://opswork.worldbank.org/home/P158095,Analytic and Advisory Activities Product,Advisory Services & Analytics,PAK,Islamic Republic of Pakistan,"Middle East, North Africa, Afghanistan, and Pakistan",NA,GOV,NA,Raul Felix Junquera-Varela (ADM),NA,NA,Blend,FALSE,FALSE,FALSE,FALSE
P166978,Tackling Afghanistan?s Government HRM and Institutional Reforms,Active,"To strengthen the capacity of selected line ministries and agencies through merit-based recruitment of key positions, improved personnel management, and better HR planning.",2019,https://opswork.worldbank.org/home/P166978,Lending Product,IBRD/IDA,AFG,Islamic  Republic of Afghanistan,"Middle East, North Africa, Afghanistan, and Pakistan",IPF,GOV,NA,Atiqullah Ahmadzai (ADM),IDA,38502429.13,IDA,FALSE,FALSE,TRUE,FALSE
