proj_id,proj_name,proj_status,pdo,proj_approval_fy,proj_url,product_line_type,product_line_name,country_code,country_name,region,lending_instrument,lead_gp,contrib_gp,ttl,commitment_amount,lending_category,theme_pfm,theme_procurement,theme_public_admin,theme_env_social
P176779,Public Financial Management Reforms for Institutional Strengthening Project  - AF,Active,"The project development objective (PDO) is to improve domestic revenue mobilization systems, and strengthen financial control and accountability in public finances.",2023,https://opswork.worldbank.org/home/P176779,Lending Product,Recipient Executed Activities,LBR,Republic of Liberia,Western and Central Africa,IPF,GOV,NA,MacDonald Nyazvigo (ADM),2110000,IDA,TRUE,FALSE,TRUE,FALSE
P177478,Governance Reform and Accountability Transformation (GREAT) Project,Active,"To enhance access to selected digitally provided public services, raise tax revenues, and improve the openness of accountability institutions. The PDO will be achieved by strengthening the use of country systems and sustainably building the capacity of civil servants to implement programs of reform.",2024,https://opswork.worldbank.org/home/P177478,Lending Product,IBRD/IDA,LBR,Republic of Liberia,Western and Central Africa,IPF,GOV,NA,Bonnie Ann Sirois (ADM),40000000,IDA,TRUE,FALSE,TRUE,TRUE
P513735,Mali Emergency Access to Essential Services Project,Active,To maintain continued access to essential health and education services in Mali.,2026,https://opswork.worldbank.org/home/P513735,Lending Product,IBRD/IDA,MLI,Republic of Mali,Western and Central Africa,IPF,GOV,EDU HNP MTI,Tahirou Kalam (ADM),NA,IDA,TRUE,FALSE,FALSE,TRUE
P509601,Niger Food Security and Emergency Access to Essential  Services Project,Active,"To maintain continuous access to adequate food, essential healthcare, and education services to people of Niger and strengthen revenue mobilization for the delivery of these services.",2025,https://opswork.worldbank.org/home/P509601,Lending Product,IBRD/IDA,NER,Republic of Niger,Western and Central Africa,IPF,GOV,AGR EDU HNP MTI,Tahirou Kalam (ADM),NA,IDA,TRUE,TRUE,FALSE,TRUE
P174822,Niger Public Sector Management for Resilience and Service Delivery Program,Active,"The PDO is to strengthen public expenditure and human resources management to improve the availability in underserved areas of (i) textbooks, and essential medicines, and (ii) teachers, and health workers in public primary schools and health centers.",2022,https://opswork.worldbank.org/home/P174822,Lending Product,IBRD/IDA,NER,Republic of Niger,Western and Central Africa,PforR,GOV,EDU HNP,Murielle Babatounde (ADM),191500000,IDA,TRUE,FALSE,FALSE,TRUE
P510613,Strengthening Senegal?s Fiscal Sustainability Program,Active,"To improve public debt sustainability, strengthen public financial management, and increase domestic resource mobilization.",2025,https://opswork.worldbank.org/home/P510613,Lending Product,IBRD/IDA,SEN,Republic of Senegal,Western and Central Africa,PforR,GOV,DDT MTI,Julia Dhimitri (ADM),NA,IDA,TRUE,TRUE,FALSE,TRUE
P172492,Accountable Governance for Basic Service Delivery,Active,"The PDO is to improve resource management, transparency and accountability of government systems for enabling the delivery of local development projects and basic services.",2021,https://opswork.worldbank.org/home/P172492,Lending Product,IBRD/IDA,SLE,Republic of Sierra Leone,Western and Central Africa,IPF,GOV,EDU HNP URS,Raymond Muhula (ADM),40000000,IDA,TRUE,FALSE,TRUE,TRUE
P176924,The Gambia Public Administration Modernization for Citizen Centric Service Delivery,Active,"To enhance domestic resource mobilization and financial reporting, human resource management, and citizen engagement in education.",2025,https://opswork.worldbank.org/home/P176924,Lending Product,IBRD/IDA,GMB,Republic of The Gambia,Western and Central Africa,PforR,GOV,EDU,Yousif Mubarak Elmahdi (ADM),50000000,IDA,TRUE,FALSE,FALSE,TRUE
P501226,Improving Public Financial Management to Support Service Delivery in Togo,Active,NA,2027,https://opswork.worldbank.org/home/P501226,Analytic and Advisory Activities Product,Advisory Services & Analytics,TGO,Republic of Togo,Western and Central Africa,NA,GOV,EDU HNP SPL,Ibrahim El ghandour (ADM),NA,IDA,TRUE,FALSE,FALSE,FALSE
P176883,Togo Public Sector Strengthening for Service Delivery Operation,Active,The PforR development objective is to enhance human resource and public expenditure management.,2024,https://opswork.worldbank.org/home/P176883,Lending Product,IBRD/IDA,TGO,Republic of Togo,Western and Central Africa,PforR,GOV,EDU HNP,Ibrahim El ghandour (ADM),65000000,IDA,TRUE,FALSE,TRUE,TRUE
