proj_id,proj_name,proj_status,pdo,proj_approval_fy,proj_url,product_line_type,product_line_name,country_code,country_name,region,lending_instrument,lead_gp,contrib_gp,ttl,agreement_type,commitment_amount,lending_category,theme_pfm,theme_procurement,theme_public_admin,theme_env_social
P172924,Additional Financing for Public Finance Management Modernization Project 2,Active,"<p>The development objective of the project is to improve effectiveness, control and accountability of public expenditure of the Republic of Tajikistan.</p>",2021,https://opswork.worldbank.org/home/P172924,Lending Product,IBRD/IDA,TJK,Republic of Tajikistan,Europe and Central Asia,IPF,GOV,NA,Hassan Aliev (ADM),IDA,6000000,IDA,TRUE,TRUE,TRUE,FALSE
P173001,Tax Administration Reform Project in Uzbekistan,Active,The development objective is to improve the operational efficiency and effectiveness of the State Tax Committee (STC) and increase voluntary compliance.,2021,https://opswork.worldbank.org/home/P173001,Lending Product,IBRD/IDA,UZB,Republic of Uzbekistan,Europe and Central Asia,IPF,GOV,MTI,Jan Loeprick (ADM),IDA,60000000,Blend,TRUE,FALSE,TRUE,FALSE
P171892,Tax Reform Operation,Active,"To simplify the tax system, enhance quality of taxpayer services, and improve voluntary compliance.",2021,https://opswork.worldbank.org/home/P171892,Lending Product,IBRD/IDA,TJK,Republic of Tajikistan,Europe and Central Asia,PforR,GOV,MTI,Gregory Kisunko (ADM),IDA,50000000,IDA,TRUE,FALSE,FALSE,FALSE
P515209,Tajikistan Public Expenditure and Financial Accountability Assessments 2026,Active,"The development objective is to strengthen PFM in Tajikistan by providing a robust, evidence-based diagnostic foundation for the next generation of reforms.",2027,https://opswork.worldbank.org/home/P515209,Analytic and Advisory Activities Product,Advisory Services & Analytics,TJK,Republic of Tajikistan,Europe and Central Asia,NA,GOV,NA,Arman Vatyan (ADM),NA,NA,IDA,TRUE,TRUE,FALSE,FALSE
P150381,Public Finance Management Modernization Project 2,Active,"<p>The development objective of the project is to improve effectiveness, control and accountability of public expenditure of the Republic of Tajikistan.</p>",2015,https://opswork.worldbank.org/home/P150381,Lending Product,IBRD/IDA,TJK,Republic of Tajikistan,Europe and Central Asia,IPF,GOV,NA,Hassan Aliev (ADM),IDA,25664800,IDA,TRUE,TRUE,TRUE,FALSE
